Dataset,RF_R2,XGB_R2,ANN_R2
UCI Appliances (TS),0.9864773828349471,0.9923808250174004,0.9970734713210743
UCI Efficiency (Static),0.9976624543891746,0.9983050846142034,0.9876470983225327
